"Source:","C:\Users\Alex\Documents\microclem\hardware\base\microclem_base.sch"
"Date:","13/03/2021 16:22:15"
"Tool:","Eeschema (5.1.7)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","81"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","U10","74AHC74","74xx:74LS74","Package_DIP:DIP-14_W7.62mm_Socket","https://www.ti.com/lit/ds/symlink/sn74ahc74.pdf"
"","","U11","74AHC74","74xx:74LS74","Package_DIP:DIP-14_W7.62mm_Socket","https://www.ti.com/lit/ds/symlink/sn74ahc74.pdf"
"","","U12","74AHC14","74xx:74LS14","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74AHC14"
"","","U13","74AHC08","74xx:74LS08","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74AHC08"
"","","U14","74AHC32","74xx:74LS32","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74AHC32"
"","","U15","74HC590","74xx:74LS590","Package_DIP:DIP-16_W7.62mm_Socket","https://www.ti.com/lit/ds/symlink/sn74hc590a.pdf"
"","","U16","74AC163","74xx:74LS163","Package_DIP:DIP-16_W7.62mm_Socket","https://www.ti.com/lit/ds/symlink/cd54ac163.pdf"
"","","U17","74AC163","74xx:74LS163","Package_DIP:DIP-16_W7.62mm_Socket","https://www.ti.com/lit/ds/symlink/cd54ac163.pdf"
"","","U18","74AHCT245","74xx:74LS245","Package_DIP:DIP-20_W7.62mm_Socket","https://www.ti.com/lit/ds/scls233p/scls233p.pdf"
"","","U19","74HC590","74xx:74LS590","Package_DIP:DIP-16_W7.62mm_Socket","https://www.ti.com/lit/ds/symlink/sn74hc590a.pdf"
"","","U20","74HC590","74xx:74LS590","Package_DIP:DIP-16_W7.62mm_Socket","https://www.ti.com/lit/ds/symlink/sn74hc590a.pdf"
"","","U21","74AHC138","74xx:74LS138","Package_DIP:DIP-16_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74AHC138"
"","","U22","74AHCT245","74xx:74LS245","Package_DIP:DIP-20_W7.62mm_Socket","https://www.ti.com/lit/ds/scls233p/scls233p.pdf"
"","","VIA1","W65C22SxP","65xx:W65C22SxP","Package_DIP:DIP-40_W15.24mm_Socket","http://www.westerndesigncenter.com/wdc/documentation/w65c22.pdf"
"","","X1","CXO_DIP8","Oscillator:CXO_DIP8","Oscillator:Oscillator_DIP-8","http://cdn-reichelt.de/documents/datenblatt/B400/OSZI.pdf"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","28","CB1, CB2, CB3, CB4, CB5, CB6, CB7, CB8, CB9, CB10, CB11, CB12, CB13, CB14, CB15, CB16, CB17, CB18, CB19, CB20, CB21, CB22, CB23, CB24, CB25, CB26, CB27, CB28","0.1μF","Device:C_Small","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","~"
"2","1","CONN1","C96ABC","Connector:C96ABC","din61412:DIN41612_C_3x32_Male_Horizontal_THT_CAPS"," ~"
"3","2","CR1, CR2","1μF","Device:C_Small","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","~"
"4","2","CR3, CR4","22pF","Device:C_Small","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","~"
"5","2","D1, D2","DIODE","pspice:DIODE","Diode_THT:D_DO-15_P2.54mm_Vertical_AnodeUp","~"
"6","1","D3","P_LED","Device:LED","LED_THT:LED_D3.0mm","~"
"7","1","JPC1","JP_RST","Jumper:Jumper_2_Open","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"8","1","JPC2","/1","Jumper:Jumper_2_Open","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"9","1","JPC3","/2","Jumper:Jumper_2_Open","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"10","1","JPC4","/4","Jumper:Jumper_2_Open","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"11","1","JPC5","/8","Jumper:Jumper_2_Open","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
